"No.","Time","Source","Destination","Protocol","Length","Info"
"14","11:50:27.841817","fe80::180a:67aa:f204:abdd","ff02::fb","MDNS","1479","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question TXT Sophiaâ\200\231s MacBook Pro._companion-link._tcp.local, ""QM"" question TXT C8D083BC7239@Bedroom (2)._raop._tcp.local, ""QU"" question PTR delaneyâ\200\231s MacBook Air._companion-link._tcp.local PTR Ioanna's iPad._companion-link._tcp.local PTR Amandaâ\200\231s MacBook Air (2)._companion-link._tcp.local PTR Arnelleâ\200\231s MacBook Pro._companion-link._tcp.local PTR Gisselleâ\200\231s MacBook Pro._companion-link._tcp.local PTR Reisâ\200\231s MacBook Pro._companion-link._tcp.local PTR iPad (19)._companion-link._tcp.local PTR Brettâ\200\231s MacBook Pro._companion-link._tcp.local PTR caro 2.0._companion-link._tcp.local PTR Sophiaâ\200\231s MacBook Pro._companion-link._tcp.local PTR Alexâ\200\231s MacBook Air._companion-link._tcp.local PTR Deundreâ\200\231s MacBook Air._companion-link._tcp.local PTR Nicoleâ\200\231s MacBook Pro (2)._companion-link._tcp.local PTR Erikaâ\200\231s MacBook Air._companion-link._tcp.local PTR Allexeâ\200\231s MacBook Air._companion-link._tcp.local PTR Amyâ\200\231s MacBook Pro._companion-link._tcp.local PTR M.G. Tv._companion-link._tcp.local PTR Lanceâ\200\231s iPad._companion-link._tcp.local PTR Bedroom (2)._companion-link._tcp.local PTR Veronicaâ\200\231s MacBook Air._companion-link._tcp.local PTR Peterâ\200\231s MacBook Pro (2)._companion-link._tcp.local PTR Anniqueâ\200\231s MacBook Air._companion-link._tcp.local PTR Meganâ\200\231s MacBook Pro (2)._companion-link._tcp.local PTR Naomiâ\200\231s MacBook._companion-link._tcp.local PTR YRJDaLoneWolf._companion-link._tcp.local PTR The squads Apple TV._companion-link._tcp.local PTR Albertâ\200\231s iMac._companion-link._tcp.local PTR Kaylaâ\200\231s MacBook (1569)._companion-link._tcp.local PTR Dylanâ\200\231s MacBook Air._companion-link._tcp.local PTR Jeovanyâ\200\231s MacBook Air._companion-link._tcp.local PTR Ashleyâ\200\231s MacBook Pro (2)._companion-link._tcp.local PTR gabbyâ\200\231s MacBook Air._companion-link._tcp.local PTR emmaâ\200\231s MacBook Pro._companion-link._tcp.local PTR Mylesâ\200\231 MacBook Pro._companion-link._tcp.local PTR Austinâ\200\231s MacBook Pro (2)._companion-link._tcp.local PTR Reis Ehmanâ\200\231s iPad._companion-link._tcp.local PTR Selinâ\200\231s TV._companion-link._tcp.local PTR Titaaa._companion-link._tcp.local OPT"
"15","11:50:27.846085","fe80::180a:67aa:f204:abdd","ff02::fb","MDNS","537","Standard query 0x0000 PTR _homekit._tcp.local, ""QM"" question TXT Bedroom (2)._airplay._tcp.local, ""QU"" question TXT Erikaâ\200\231s MacBook Air._companion-link._tcp.local, ""QU"" question TXT Meganâ\200\231s MacBook Pro (2)._companion-link._tcp.local, ""QU"" question PTR D655C080-4398-545C-B468-6A982C6BCBB9._homekit._tcp.local PTR 47D154E7-8D63-5144-A7CF-2E54D89CFCDB._homekit._tcp.local PTR 7F31A117-B151-577E-90F1-1DC82C2790A0._homekit._tcp.local PTR 69DA8E26-28E3-5843-9F7D-CA1F2C29CAB9._homekit._tcp.local PTR D652C4B3-E44D-58D6-82D7-BC61B1CE285D._homekit._tcp.local PTR C608435C-5128-532A-84A3-42BFA51FF300._homekit._tcp.local OPT"
"16","11:50:27.846085","fe80::1897:c793:5a8f:469f","ff02::fb","MDNS","248","Standard query response 0x0000 PTR Ashleyâ\200\231s MacBook Pro (2)._companion-link._tcp.local TXT OPT"
"17","11:50:27.861443","fe80::c8f:d6b6:e71d:7cb0","ff02::fb","MDNS","254","Standard query response 0x0000 PTR Jeovanyâ\200\231s MacBook Air._companion-link._tcp.local TXT, cache flush NSEC, cache flush Jeovanyâ\200\231s MacBook Air._companion-link._tcp.local"
"18","11:50:27.865311","fe80::1428:d535:2d97:2a85","ff02::fb","MDNS","239","Standard query response 0x0000 TXT, cache flush NSEC, cache flush Naomiâ\200\231s MacBook._companion-link._tcp.local"
"19","11:50:27.881375","fe80::1842:3f86:1d99:a89d","ff02::fb","MDNS","529","Standard query 0x0000 PTR _sleep-proxy._udp.local, ""QM"" question PTR 70-35-60-63.1 YRJDaLoneWolf._sleep-proxy._udp.local PTR 70-35-60-63.1 Selinâ\200\231s TV._sleep-proxy._udp.local PTR 70-35-60-63.1 941 TV._sleep-proxy._udp.local PTR 70-35-60-63.1 M.G. Tv._sleep-proxy._udp.local PTR 70-35-60-63.1 Nick's Apple TV._sleep-proxy._udp.local PTR 70-35-60-63.1 Titaaa._sleep-proxy._udp.local PTR 70-35-60-63.1 Apple TV (2)._sleep-proxy._udp.local PTR 70-35-60-63.1 julianna apple tv._sleep-proxy._udp.local PTR 70-35-60-63.1 Bedroom (2)._sleep-proxy._udp.local PTR 70-35-60-63.1 gabyTV:)._sleep-proxy._udp.local OPT"
"20","11:50:27.881631","fe80::b1:22b4:4842:7fe8","ff02::fb","MDNS","132","Standard query response 0x0000 PTR 70-35-60-63.1 941 TV._sleep-proxy._udp.local"
"21","11:50:27.909526","fe80::18ce:54b3:9cb:928e","ff02::1:ff24:1b76","ICMPv6","86","Neighbor Solicitation for fe80::18d2:1155:ec24:1b76 from 08:66:98:b6:7b:be"
"22","11:50:27.916487","fe80::9ab8:baff:fe22:ac35","ff02::fb","MDNS","308","Standard query response 0x0000 PTR, cache flush Android.local PTR, cache flush Android.local A, cache flush 10.181.26.32 AAAA, cache flush fe80::9ab8:baff:fe22:ac35 NSEC, cache flush 32.26.181.10.in-addr.arpa NSEC, cache flush 5.3.C.A.2.2.E.F.F.F.A.B.8.B.A.9.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android.local"
"23","11:50:27.916487","fe80::18ce:54b3:9cb:928e","ff02::fb","MDNS","637","Standard query response 0x0000 TXT PTR Living Room*._airplay._tcp.local PTR 086698B67BC0@Living Room*._raop._tcp.local PTR Living Room*._companion-link._tcp.local PTR 644F840F-0905-57C4-B0C1-85CE9A8BBC26._homekit._tcp.local PTR 70-35-60-63.1 Living Room*._sleep-proxy._udp.local TXT, cache flush SRV, cache flush 0 0 49153 Living-Room.local AAAA, cache flush fe80::18ce:54b3:9cb:928e A, cache flush 10.181.25.197 NSEC, cache flush Living Room*._companion-link._tcp.local NSEC, cache flush Living-Room.local OPT"
"24","11:50:27.916487","fe80::79:669a:ca1:9e96","ff02::fb","MDNS","139","Standard query response 0x0000 PTR 70-35-60-63.1 YRJDaLoneWolf._sleep-proxy._udp.local"
"25","11:50:27.916738","fe80::28:7af2:d11c:bfec","ff02::fb","MDNS","137","Standard query response 0x0000 PTR Hayleyâ\200\231s MacBook Air._companion-link._tcp.local"
"26","11:50:27.916738","fe80::877:809a:2ef8:2964","ff02::fb","MDNS","239","Standard query response 0x0000 PTR Veronicaâ\200\231s MacBook Air._companion-link._tcp.local TXT"
"27","11:50:27.923435","fe80::107b:eb59:5a24:6b72","ff02::fb","MDNS","243","Standard query response 0x0000 TXT, cache flush NSEC, cache flush Meganâ\200\231s MacBook Pro (2)._companion-link._tcp.local"
"28","11:50:27.927823","fe80::1027:fc2e:82fa:dd53","ff02::fb","MDNS","141","Standard query response 0x0000 PTR Austinâ\200\231s MacBook Pro (2)._companion-link._tcp.local"
"29","11:50:27.931285","fe80::46c:fc55:22d4:c421","ff02::fb","MDNS","162","Standard query response 0x0000 PTR iPad._companion-link._tcp.local TXT"
"30","11:50:27.938866","fe80::1c00:829b:a7c4:871d","ff02::fb","MDNS","200","Standard query 0x0000 TXT D652C4B3-E44D-58D6-82D7-BC61B1CE285D._homekit._tcp.local, ""QU"" question TXT Selinâ\200\231s TV._companion-link._tcp.local, ""QU"" question OPT"
"31","11:50:27.946575","fe80::1c61:76aa:4cc2:1dbb","ff02::fb","MDNS","416","Standard query response 0x0000 PTR iPad (19)._companion-link._tcp.local TXT TXT, cache flush SRV, cache flush 0 0 57667 iPad-19.local AAAA, cache flush fe80::1c61:76aa:4cc2:1dbb A, cache flush 10.181.24.28 NSEC, cache flush iPad (19)._companion-link._tcp.local NSEC, cache flush iPad-19.local"
"32","11:50:27.960152","fe80::c8c:63:36b1:1ec1","ff02::fb","MDNS","194","Standard query response 0x0000 PTR The squads Apple TV._companion-link._tcp.local PTR 69DA8E26-28E3-5843-9F7D-CA1F2C29CAB9._homekit._tcp.local"
"33","11:50:27.968862","fe80::18c7:8fbd:36d2:6dd3","ff02::1:ff69:5b5a","ICMPv6","86","Neighbor Solicitation for fe80::1cb1:d806:4e69:5b5a from 78:4f:43:8c:3b:9c"
"34","11:50:27.969629","fe80::1428:d535:2d97:2a85","ff02::fb","MDNS","132","Standard query response 0x0000 PTR Naomiâ\200\231s MacBook._companion-link._tcp.local"
"35","11:50:27.974788","fe80::1c3d:3aa2:fde0:3efa","ff02::1:ff69:5b5a","ICMPv6","86","Neighbor Solicitation for fe80::1cb1:d806:4e69:5b5a from c8:d0:83:d0:c1:01"
"36","11:50:28.000992","fe80::10f6:a3be:2f18:5823","ff02::fb","MDNS","237","Standard query response 0x0000 PTR delaneyâ\200\231s MacBook Air._companion-link._tcp.local TXT"
"37","11:50:28.000992","fe80::14d2:b796:fc1c:5009","ff02::fb","MDNS","327","Standard query 0x0000 TXT gabbyâ\200\231s MacBook Air._companion-link._tcp.local, ""QU"" question TXT Mylesâ\200\231 MacBook Pro._companion-link._tcp.local, ""QU"" question TXT Reis Ehmanâ\200\231s iPad._companion-link._tcp.local, ""QU"" question TXT D652C4B3-E44D-58D6-82D7-BC61B1CE285D._homekit._tcp.local, ""QU"" question TXT Selinâ\200\231s TV._companion-link._tcp.local, ""QU"" question TXT Titaaa._companion-link._tcp.local, ""QU"" question TXT Ashleyâ\200\231s MacBook Pro (2)._companion-link._tcp.local, ""QU"" question OPT"
"38","11:50:28.024479","10.181.26.48","35.186.224.47","TLSv1.2","89","Application Data"
"39","11:50:28.024518","fe80::b466:d5d7:98d:7d7","ff02::fb","MDNS","90","Standard query 0x0000 A wpad.local, ""QM"" question"
"40","11:50:28.037102","fe80::4f1:ff7e:8772:660e","ff02::fb","MDNS","454","Standard query response 0x0000 TXT PTR MacBook Pro\302\240â\200\224 Arina._companion-link._tcp.local TXT, cache flush SRV, cache flush 0 0 51274 MacBook-Pro-Arina.local AAAA, cache flush fe80::4f1:ff7e:8772:660e A, cache flush 10.181.26.49 NSEC, cache flush MacBook Pro\302\240â\200\224 Arina._companion-link._tcp.local NSEC, cache flush MacBook-Pro-Arina.local"
"41","11:50:28.037102","fe80::a1ef:e618:f6b6:d68a","ff02::1:3","LLMNR","84","Standard query 0x941a A wpad"
"42","11:50:28.037102","fe80::a1ef:e618:f6b6:d68a","ff02::1:3","LLMNR","84","Standard query 0xd1e4 A wpad"
"43","11:50:28.037102","fe80::a1ef:e618:f6b6:d68a","ff02::1:3","LLMNR","84","Standard query 0x6688 A wpad"
"44","11:50:28.043808","35.186.224.47","10.181.26.48","TCP","56","443  >  2432 [ACK] Seq=1 Ack=36 Win=266 Len=0"
"45","11:50:28.057254","fe80::a1ef:e618:f6b6:d68a","ff02::1:3","LLMNR","84","Standard query 0x929d A wpad"
"46","11:50:28.057254","fe80::a1ef:e618:f6b6:d68a","ff02::1:3","LLMNR","84","Standard query 0x17be A wpad"
"47","11:50:28.057254","fe80::a1ef:e618:f6b6:d68a","ff02::1:3","LLMNR","84","Standard query 0xfa03 A wpad"
"48","11:50:28.060000","35.186.224.47","10.181.26.48","TLSv1.2","85","Application Data"
"49","11:50:28.065683","fe80::4da:5c3b:a764:8679","ff02::fb","MDNS","472","Standard query response 0x0000 PTR Sidneyâ\200\231s MacBook Air._companion-link._tcp.local TXT TXT, cache flush SRV, cache flush 0 0 56088 Sidneys-MacBook-Air.local AAAA, cache flush fe80::4da:5c3b:a764:8679 A, cache flush 10.181.26.147 NSEC, cache flush Sidneyâ\200\231s MacBook Air._companion-link._tcp.local NSEC, cache flush Sidneys-MacBook-Air.local"
"50","11:50:28.071505","fe80::a1ef:e618:f6b6:d68a","ff02::1:3","LLMNR","84","Standard query 0x814b A wpad"
"51","11:50:28.087392","fe80::455:b404:ef5a:52f5","ff02::1:ff1c:5009","ICMPv6","86","Neighbor Solicitation for fe80::14d2:b796:fc1c:5009 from 92:8e:77:ef:7e:13"
"52","11:50:28.087392","162.159.136.234","10.181.26.48","TLSv1.2","211","Application Data"
"53","11:50:28.100740","10.181.26.48","35.186.224.47","TCP","54","2432  >  443 [ACK] Seq=36 Ack=32 Win=508 Len=0"
"54","11:50:28.100832","fe80::18d2:1155:ec24:1b76","ff02::fb","MDNS","527","Standard query 0x0000 PTR _homekit._tcp.local, ""QM"" question TXT 644F840F-0905-57C4-B0C1-85CE9A8BBC26._homekit._tcp.local, ""QM"" question TXT 47D154E7-8D63-5144-A7CF-2E54D89CFCDB._homekit._tcp.local, ""QM"" question TXT C608435C-5128-532A-84A3-42BFA51FF300._homekit._tcp.local, ""QM"" question TXT D652C4B3-E44D-58D6-82D7-BC61B1CE285D._homekit._tcp.local, ""QM"" question TXT 7F31A117-B151-577E-90F1-1DC82C2790A0._homekit._tcp.local, ""QM"" question TXT D655C080-4398-545C-B468-6A982C6BCBB9._homekit._tcp.local, ""QM"" question TXT 69DA8E26-28E3-5843-9F7D-CA1F2C29CAB9._homekit._tcp.local, ""QM"" question PTR 644F840F-0905-57C4-B0C1-85CE9A8BBC26._homekit._tcp.local PTR 47D154E7-8D63-5144-A7CF-2E54D89CFCDB._homekit._tcp.local PTR C608435C-5128-532A-84A3-42BFA51FF300._homekit._tcp.local PTR D652C4B3-E44D-58D6-82D7-BC61B1CE285D._homekit._tcp.local PTR 7F31A117-B151-577E-90F1-1DC82C2790A0._homekit._tcp.local PTR D655C080-4398-545C-B468-6A982C6BCBB9._homekit._tcp.local PTR 69DA8E26-28E3-5843-9F7D-CA1F2C29CAB9._homekit._tcp.local OPT"
"55","11:50:28.100832","fe80::18d2:1155:ec24:1b76","ff02::fb","MDNS","1500","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR Bedroom (2)._companion-link._tcp.local PTR Living Room*._companion-link._tcp.local PTR Meganâ\200\231s MacBook Pro (2)._companion-link._tcp.local PTR emmaâ\200\231s MacBook Pro._companion-link._tcp.local PTR Titaaa._companion-link._tcp.local PTR Ioanna's iPad._companion-link._tcp.local PTR Jeovanyâ\200\231s MacBook Air._companion-link._tcp.local PTR Selinâ\200\231s TV._companion-link._tcp.local PTR Alexâ\200\231s MacBook Air._companion-link._tcp.local PTR YRJDaLoneWolf._companion-link._tcp.local PTR M.G. Tv._companion-link._tcp.local PTR Brettâ\200\231s MacBook Pro._companion-link._tcp.local PTR Allexeâ\200\231s MacBook Air._companion-link._tcp.local PTR Amandaâ\200\231s MacBook Air (2)._companion-link._tcp.local PTR Amyâ\200\231s MacBook Pro._companion-link._tcp.local PTR Austinâ\200\231s MacBook Pro (2)._companion-link._tcp.local PTR Gisselleâ\200\231s MacBook Pro._companion-link._tcp.local PTR Hayleyâ\200\231s MacBook Air._companion-link._tcp.local PTR Sidneyâ\200\231s MacBook Air._companion-link._tcp.local PTR Sophiaâ\200\231s MacBook Pro._companion-link._tcp.local PTR Nicoleâ\200\231s MacBook Pro (2)._companion-link._tcp.local PTR Veronicaâ\200\231s MacBook Air._companion-link._tcp.local PTR The squads Apple TV._companion-link._tcp.local PTR delaneyâ\200\231s MacBook Air._companion-link._tcp.local PTR gabbyâ\200\231s MacBook Air._companion-link._tcp.local PTR Albertâ\200\231s iMac._companion-link._tcp.local PTR Lanceâ\200\231s iPad._companion-link._tcp.local PTR Jaredâ\200\231s MacBook Air._companion-link._tcp.local PTR Anniqueâ\200\231s MacBook Air._companion-link._tcp.local PTR Reisâ\200\231s MacBook Pro._companion-link._tcp.local PTR Mylesâ\200\231 MacBook Pro._companion-link._tcp.local PTR Dylanâ\200\231s MacBook Air._companion-link._tcp.local PTR Deundreâ\200\231s MacBook Air._companion-link._tcp.local PTR Reis Ehmanâ\200\231s iPad._companion-link._tcp.local PTR MacBook Pro\302\240â\200\224 Arina._companion-link._tcp.local PTR iPad (19)._companion-link._tcp.local PTR iPad._companion-link._tcp.local PTR Kaylaâ\200\231s MacBook (1569)._companion-link._tcp.local PTR Peterâ\200\231s MacBook Pro (2)._companion-link._tcp.local PTR Ashleyâ\200\231s MacBook Pro (2)._companion-link._tcp.local OPT"
"56","11:50:28.100832","fe80::1087:af73:aa3c:fc74","ff02::fb","MDNS","238","Standard query response 0x0000 TXT, cache flush NSEC, cache flush Erikaâ\200\231s MacBook Air._companion-link._tcp.local"
"57","11:50:28.100832","fe80::1003:ef10:facc:c561","ff02::fb","MDNS","136","Standard query response 0x0000 PTR gabbyâ\200\231s MacBook Air._companion-link._tcp.local"
"58","11:50:28.107674","fe80::14d2:b796:fc1c:5009","ff02::fb","MDNS","285","Standard query 0x0000 TXT Veronicaâ\200\231s MacBook Air._companion-link._tcp.local, ""QU"" question TXT C608435C-5128-532A-84A3-42BFA51FF300._homekit._tcp.local, ""QU"" question TXT delaneyâ\200\231s MacBook Air._companion-link._tcp.local, ""QU"" question TXT 644F840F-0905-57C4-B0C1-85CE9A8BBC26._homekit._tcp.local, ""QU"" question OPT"
"59","11:50:28.120943","fe80::1891:b18b:f6eb:5ab9","ff02::fb","MDNS","590","Standard query 0x0000 PTR _airplay._tcp.local, ""QM"" question PTR Samsung 4 Series (32)._airplay._tcp.local PTR YRJDaLoneWolf._airplay._tcp.local PTR Samsung 6 Series (40)._airplay._tcp.local PTR Samsung Q6 Series (49)._airplay._tcp.local PTR Titaaa._airplay._tcp.local PTR Living Room TV._airplay._tcp.local PTR Mikey's TV._airplay._tcp.local PTR Apple TV (2)._airplay._tcp.local PTR julianna apple tv._airplay._tcp.local PTR Bedroom (2)._airplay._tcp.local PTR 941 TV._airplay._tcp.local PTR Del'McQuannterrias._airplay._tcp.local PTR Selinâ\200\231s TV._airplay._tcp.local PTR gabyTV:)._airplay._tcp.local PTR The squads Apple TV._airplay._tcp.local PTR Living Room*._airplay._tcp.local OPT"
"60","11:50:28.127867","10.181.26.48","162.159.136.234","TCP","54","2488  >  443 [ACK] Seq=1 Ack=368 Win=2065 Len=0"
"61","11:50:28.134886","fe80::ddf7:b1f5:dffc:4d5a","ff02::fb","MDNS","90","Standard query 0x0000 A wpad.local, ""QM"" question"
"62","11:50:28.134886","fe80::875:307f:62da:639e","ff02::fb","MDNS","414","Standard query response 0x0000 PTR caro 2.0._companion-link._tcp.local TXT TXT, cache flush SRV, cache flush 0 0 49360 caro-20.local AAAA, cache flush fe80::875:307f:62da:639e A, cache flush 10.186.200.39 NSEC, cache flush caro 2.0._companion-link._tcp.local NSEC, cache flush caro-20.local"
"63","11:50:28.134886","fe80::ddf7:b1f5:dffc:4d5a","ff02::1:3","LLMNR","84","Standard query 0x243d A wpad"
"64","11:50:28.134886","fe80::ddf7:b1f5:dffc:4d5a","ff02::fb","MDNS","90","Standard query 0x0000 A wpad.local, ""QM"" question"
"65","11:50:28.190134","fe80::877:809a:2ef8:2964","ff02::1:ff1c:5009","ICMPv6","86","Neighbor Solicitation for fe80::14d2:b796:fc1c:5009 from a4:83:e7:9f:34:68"
"66","11:50:28.197383","fe80::1003:ef10:facc:c561","ff02::fb","MDNS","238","Standard query response 0x0000 TXT, cache flush NSEC, cache flush gabbyâ\200\231s MacBook Air._companion-link._tcp.local"
"67","11:50:28.200232","fe80::891:759b:80f6:9c33","ff02::fb","MDNS","214","Standard query response 0x0000 PTR Jaredâ\200\231s MacBook Air._companion-link._tcp.local TXT"
"68","11:50:28.210513","fe80::14d2:b796:fc1c:5009","ff02::fb","MDNS","219","Standard query 0x0000 PTR _airplay._tcp.local, ""QU"" question PTR _raop._tcp.local, ""QU"" question TXT Living Room*._airplay._tcp.local, ""QU"" question TXT 086698B67BC0@Living Room*._raop._tcp.local, ""QU"" question PTR Living Room*._airplay._tcp.local PTR 086698B67BC0@Living Room*._raop._tcp.local OPT"
"69","11:50:28.216898","fe80::c9b:4a26:fb46:28c9","ff02::fb","MDNS","485","Standard query 0x0000 PTR _raop._tcp.local, ""QU"" question PTR _airplay._tcp.local, ""QU"" question PTR B8782E3F5666@gabyTV:)._raop._tcp.local PTR A01828F406B2@Nick's Apple TV._raop._tcp.local PTR C8D083BC7239@Bedroom (2)._raop._tcp.local PTR 28FF3CA2F46B@The squads Apple TV._raop._tcp.local PTR 086698B67BC0@Living Room*._raop._tcp.local PTR gabyTV:)._airplay._tcp.local PTR Nick's Apple TV._airplay._tcp.local PTR Bedroom (2)._airplay._tcp.local PTR The squads Apple TV._airplay._tcp.local PTR Living Room*._airplay._tcp.local OPT"
"70","11:50:28.255132","fe80::1c3d:3aa2:fde0:3efa","ff02::fb","MDNS","203","Standard query response 0x0000 TXT, cache flush NSEC, cache flush 47D154E7-8D63-5144-A7CF-2E54D89CFCDB._homekit._tcp.local"
"71","11:50:28.263049","fe80::2e64:1fff:fe65:70be","ff02::fb","MDNS","126","Standard query response 0x0000 PTR Del'McQuannterrias._airplay._tcp.local"
"72","11:50:28.264179","fe80::ca:d62e:dfe2:25bd","ff02::1:ff69:5b5a","ICMPv6","86","Neighbor Solicitation for fe80::1cb1:d806:4e69:5b5a from 88:e9:fe:53:9a:db"
